,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
99,belyy yar,ru,53.6,91.39,50.0,11.18,57.0,0.0
100,shizuishan,cn,39.02,106.36,59.9,3.94,49.0,88.0
101,evensk,ru,61.92,159.24,36.77,5.95,100.0,92.0
102,itoman,jp,26.12,127.67,78.8,10.29,83.0,1.0
103,sauk rapids,us,45.59,-94.17,82.4,6.93,57.0,40.0
104,okhotsk,ru,59.36,143.24,54.77,3.6,55.0,8.0
105,sooke,ca,48.37,-123.73,64.4,12.75,66.0,75.0
106,katrineholm,se,59.0,16.21,51.8,2.24,93.0,0.0
107,geraldton,au,-28.77,114.6,53.6,6.93,100.0,40.0
108,novopokrovka,ru,45.85,134.51,66.02,3.38,84.0,0.0
109,ushtobe,kz,45.25,77.98,46.94,3.15,55.0,76.0
110,millinocket,us,45.66,-68.71,84.2,4.7,35.0,1.0
112,lowestoft,gb,52.48,1.75,59.0,2.24,100.0,92.0
113,la reforma,mx,25.08,-108.06,96.8,9.17,30.0,5.0
114,damaturu,ng,11.75,11.96,72.68,3.38,71.0,0.0
115,tabou,ci,4.42,-7.36,81.05,7.52,100.0,56.0
116,gornopravdinsk,ru,60.06,69.92,48.02,4.94,97.0,92.0
119,vardo,no,70.37,31.11,44.87,11.65,90.0,92.0
120,williamsport,us,41.25,-77.0,73.4,4.05,78.0,90.0
121,imeni poliny osipenko,ru,52.42,136.49,63.23,6.29,44.0,92.0
122,otradnoye,ru,59.77,30.8,42.8,2.24,60.0,20.0
124,ekhabi,ru,53.51,142.97,58.64,10.76,61.0,0.0
125,yumen,cn,40.29,97.04,62.69,21.5,28.0,12.0
126,bundaberg,au,-24.87,152.35,58.46,16.69,100.0,0.0
127,kutum,sd,14.2,24.66,72.95,10.98,71.0,8.0
128,igrim,ru,63.19,64.42,39.2,2.15,94.0,88.0
129,shu,kz,43.6,73.76,52.43,7.63,33.0,0.0
130,cabedelo,br,-6.97,-34.84,75.2,5.82,83.0,0.0
133,harper,lr,4.38,-7.71,80.33,5.84,100.0,64.0
134,buraydah,sa,26.33,43.97,89.6,10.29,21.0,40.0
135,oktyabrskiy,ru,55.61,37.97,44.6,8.95,52.0,0.0
136,oum hadjer,td,13.3,19.7,80.33,9.53,46.0,0.0
137,novikovo,ru,51.15,37.89,48.92,11.32,42.0,0.0
138,almaznyy,ru,48.03,40.04,62.06,15.57,40.0,48.0
139,jeremie,ht,18.65,-74.12,79.07,3.49,100.0,76.0
140,baoqing,cn,46.32,132.2,74.66,3.71,53.0,0.0
141,malanje,ao,-9.54,16.35,61.25,2.37,80.0,0.0
142,shahr-e babak,ir,30.12,55.12,58.82,2.15,33.0,0.0
143,usinsk,ru,66.0,57.56,32.27,18.14,76.0,92.0
144,surt,ly,31.21,16.59,70.16,9.42,95.0,92.0
145,jacmel,ht,18.24,-72.54,80.6,16.35,97.0,24.0
146,dalhousie,in,32.54,75.98,64.22,2.04,45.0,44.0
147,port hedland,au,-20.31,118.58,69.8,6.93,100.0,75.0
148,dibai,in,28.21,78.26,83.3,11.43,62.0,0.0
149,rundu,na,-17.91,19.77,59.18,2.93,57.0,12.0
150,anloga,gh,5.79,0.9,80.6,8.05,83.0,20.0
151,rio pardo,br,-29.98,-52.37,62.78,4.83,99.0,92.0
152,urucara,br,-2.54,-57.76,80.24,3.49,79.0,0.0
